[21:50:44] Simulacion iniciada
[21:50:45] Checkpoint GLOBAL
[21:50:46] Checkpoint GLOBAL
[21:50:47] Checkpoint GLOBAL
[21:50:50] Cambio manual de algoritmo
[21:50:50] Checkpoint GLOBAL
[21:50:51] Checkpoint RR
[21:50:51] Checkpoint GLOBAL
[21:50:52] Checkpoint RR
[21:50:52] Checkpoint GLOBAL
[21:50:53] Checkpoint RR
[21:50:53] Checkpoint GLOBAL
[21:50:53] Checkpoint RR
[21:50:54] Checkpoint GLOBAL
[21:50:54] Checkpoint RR
[21:50:54] Checkpoint GLOBAL
[21:50:55] Checkpoint RR
[21:50:55] Checkpoint GLOBAL
[21:50:56] Checkpoint RR
[21:50:56] Checkpoint GLOBAL
[21:50:57] Checkpoint RR
[21:50:57] Checkpoint GLOBAL
[21:50:57] Checkpoint RR
[21:50:58] Checkpoint GLOBAL
[21:50:58] Checkpoint RR
[21:50:58] Checkpoint GLOBAL
[21:50:59] Checkpoint RR
[21:50:59] Checkpoint GLOBAL
[21:51:00] Checkpoint RR
[21:51:00] Checkpoint GLOBAL
[21:51:01] Checkpoint RR
[21:51:01] Checkpoint GLOBAL
[21:51:01] Checkpoint RR
[21:51:02] Checkpoint GLOBAL
